fdc_id,description,protein,calories,sugar,sodium,portion_description,gram_weight
2706054,"Chicken thigh, baked, coated, skin / coating eaten",20.96,240,0.07,420,Quantity not specified,110
2706054,"Chicken thigh, baked, coated, skin / coating eaten",20.96,240,0.07,420,"1 cup, cooked, diced",135
2706054,"Chicken thigh, baked, coated, skin / coating eaten",20.96,240,0.07,420,"1 thigh, NS as to size",110
2706054,"Chicken thigh, baked, coated, skin / coating eaten",20.96,240,0.07,420,1 large thigh,140
2706054,"Chicken thigh, baked, coated, skin / coating eaten",20.96,240,0.07,420,1 small thigh,100
2706054,"Chicken thigh, baked, coated, skin / coating eaten",20.96,240,0.07,420,1 medium thigh,110
2706054,"Chicken thigh, baked, coated, skin / coating eaten",20.96,240,0.07,420,"1 oz, cooked",28.35
2706055,"Chicken thigh, baked, coated, skin / coating not eaten",24.07,192,0,410,"1 thigh, NS as to size",70
2706055,"Chicken thigh, baked, coated, skin / coating not eaten",24.07,192,0,410,1 large thigh,90
2706055,"Chicken thigh, baked, coated, skin / coating not eaten",24.07,192,0,410,1 medium thigh,70
2706055,"Chicken thigh, baked, coated, skin / coating not eaten",24.07,192,0,410,Quantity not specified,70
2706055,"Chicken thigh, baked, coated, skin / coating not eaten",24.07,192,0,410,"1 oz, cooked",28.35
2706055,"Chicken thigh, baked, coated, skin / coating not eaten",24.07,192,0,410,1 small thigh,65
2706055,"Chicken thigh, baked, coated, skin / coating not eaten",24.07,192,0,410,"1 cup, cooked, diced",135
2706056,"Chicken wing, NS as to cooking method",23.42,257,0.6,579,Quantity not specified,70
2706056,"Chicken wing, NS as to cooking method",23.42,257,0.6,579,1 drummette,22
2706056,"Chicken wing, NS as to cooking method",23.42,257,0.6,579,"1 wing, any size",35
2706057,"Chicken wing, baked, broiled, or roasted, from raw",23.6,252,0,404,"1 wing, any size",35
2706057,"Chicken wing, baked, broiled, or roasted, from raw",23.6,252,0,404,Quantity not specified,70
